"x_value"	"section_area"	"total_area"
0	0	0
0.01	0.00398932307093757	0.00398932307093757
0.02	0.00398892416854874	0.00797824723948632
0.03	0.00398812648342883	0.0119663737229151
0.04	0.00398693025483352	0.0159533039777487
0.05	0.00398533584149685	0.0199386398192455
0.06	0.00398334372145186	0.0239219835406974
0.07	0.00398095449179179	0.0279029380324892
0.08	0.0039781688683718	0.031881106900861
0.09	0.00397498768545149	0.0358560945863124
0.1	0.0039714118952785	0.0398275064815909
0.11	0.00396744256761349	0.0437949490492044
0.12	0.00396308088919671	0.0477580299384011
0.13	0.00395832816315672	0.0517163581015579
0.14	0.00395318580836149	0.0556695439099194
0.15	0.0039476553587125	0.0596171992686319
0.16	0.00394173846238215	0.063558937731014
0.17	0.00393543688099519	0.0674943746120092
0.18	0.00392875248875463	0.0714231271007638
0.19	0.00392168727151275	0.0753448143722766
0.2	0.00391424332578788	0.0792590576980645
0.21	0.00390642285772765	0.0831654805557921
0.22	0.00389822818201932	0.0870637087378114
0.23	0.00388966172074813	0.0909533704585596
0.24	0.00388072600220425	0.0948340964607638
0.25	0.00387142365963932	0.0987055201204031
0.26	0.00386175742997333	0.102567277550376
0.27	0.0038517301524528	0.106419007702829
0.28	0.00384134476726111	0.11026035247009
0.29	0.00383060431408201	0.114090956784172
0.3	0.00381951193061724	0.11791046871479
0.31	0.00380807085105925	0.121718539565849
0.32	0.00379628440452013	0.125514823970369
0.33	0.00378415601341783	0.129298979983787
0.34	0.00377168919182059	0.133070669175607
0.35	0.00375888754375096	0.136829556719358
0.36	0.00374575476145033	0.140575311480809
0.37	0.00373229462360531	0.144307606104414
0.38	0.003718510993537	0.148026117097951
0.39	0.00370440781735449	0.151730524915306
0.4	0.00368998912207378	0.155420514037379
0.41	0.0036752590137033	0.159095773051083
0.42	0.00366022167529745	0.16275599472638
0.43	0.00364488136497934	0.166400876091359
0.44	0.00362924241393403	0.170030118505293
0.45	0.0036133092243737	0.173643427729667
0.46	0.00359708626747596	0.177240513997143
0.47	0.00358057808129673	0.18082109207844
0.48	0.00356378926865899	0.184384881347099
0.49	0.00354672449501888	0.187931605842118
0.5	0.0035293884863104	0.191460994328428
0.51	0.00351178602677013	0.194972780355198
0.52	0.0034939219567435	0.198466702311942
0.53	0.00347580117047383	0.201942503482416
0.54	0.00345742861387563	0.205399932096291
0.55	0.00343880928229359	0.208838741378585
0.56	0.00341994821824868	0.212258689596833
0.57	0.00340085050917272	0.215659540106006
0.58	0.00338152128513286	0.219041061391139
0.59	0.00336196571654743	0.222403027107686
0.6	0.00334218901189453	0.225745216119581
0.61	0.00332219641541476	0.229067412534996
0.62	0.00330199320480959	0.232369405739805
0.63	0.0032815846889366	0.235650990428742
0.64	0.00326097620550318	0.238911966634245
0.65	0.00324017311875998	0.242152139753005
0.66	0.00321918081719543	0.245371320570201
0.67	0.00319800471123287	0.248569325281433
0.68	0.00317665023093147	0.251745975512365
0.69	0.00315512282369245	0.254901098336057
0.7	0.00313342795197179	0.258034526288029
0.71	0.00311157109100089	0.26114609737903
0.72	0.00308955772651635	0.264235655105546
0.73	0.00306739335250031	0.267303048458047
0.74	0.00304508346893255	0.270348131926979
0.75	0.00302263357955552	0.273370765506535
0.76	0.00300004918965379	0.276370814696189
0.77	0.00297733580384884	0.279348150500037
0.78	0.0029544989239107	0.282302649423948
0.79	0.00293154404658733	0.285234193470536
0.8	0.00290847666145312	0.288142670131989
0.81	0.00288530224877755	0.291027972380766
0.82	0.00286202627741518	0.293889998658181
0.83	0.00283865420271794	0.296728652860899
0.84	0.002815191464471	0.29954384432537
0.85	0.00279164348485309	0.302335487810223
0.86	0.00276801566642227	0.305103503476646
0.87	0.00274431339012836	0.307847816866774
0.88	0.00272054201335277	0.310568358880127
0.89	0.0026967068679767	0.313265065748103
0.9	0.00267281325847879	0.315937879006582
0.91	0.00264886646006286	0.318586745466645
0.92	0.00262487171681686	0.321211617183462
0.93	0.00260083423990351	0.323812451423365
0.94	0.00257675920578385	0.326389210629149
0.95	0.00255265175447405	0.328941862383623
0.96	0.00252851698783653	0.33147037937146
0.97	0.00250435996790592	0.333974739339366
0.98	0.00248018571525054	0.336454925054616
0.99	0.00245599920737021	0.338910924261987
1	0.00243180537713071	0.341342729639117
1.01	0.00240760911123578	0.343750338750353
1.02	0.00238341524873696	0.34613375399909
1.03	0.00235922857958196	0.348492982578672
1.04	0.00233505384320189	0.350828036421874
1.05	0.002310895727138	0.353138932149012
1.06	0.00228675886570809	0.35542569101472
1.07	0.00226264783871328	0.357688338853433
1.08	0.00223856717018515	0.359926906023618
1.09	0.00221452132717397	0.362141427350792
1.1	0.00219051471857792	0.36433194206937
1.11	0.00216655169401385	0.366498493763384
1.12	0.00214263654272969	0.368641130306114
1.13	0.00211877349255867	0.370759903798673
1.14	0.00209496670891562	0.372854870507588
1.15	0.00207122029383542	0.374926090801424
1.16	0.00204753828505367	0.376973629086477
1.17	0.00202392465512978	0.378997553741607
1.18	0.00200038331061237	0.380997937052219
1.19	0.00197691809124706	0.382974855143466
1.2	0.00195353276922675	0.384928387912693
1.21	0.00193023104848406	0.386858618961177
1.22	0.0019070165640262	0.388765635525203
1.23	0.00188389288131185	0.390649528406515
1.24	0.00186086349567017	0.392510391902186
1.25	0.00183793183176164	0.394348323733947
1.26	0.00181510124308051	0.396163424977028
1.27	0.00179237501149887	0.397955799988526
1.28	0.00176975634685178	0.399725556335378
1.29	0.00174724838656348	0.401472804721942
1.3	0.0017248541953142	0.403197658917256
1.31	0.0017025767647474	0.404900235682003
