"Country or Area","Year(s)","Variant","Value"
"World","2083","Low","8203807.703"
"World","2083","Constant fertility","15966544.068"
"World","2083","Instant replacement","10180463.038"
"World","2083","Zero migration","10710480.116"
"World","2083","Constant mortality","9343416.741"
"World","2083","No change","13870883.238"
"World","2083","Momentum","9307998.086"
"World","2082","Medium","10706644.425"
"World","2082","High","13680004.968"
"World","2082","Low","8247445.673"
"World","2082","Constant fertility","15717024.39"
"World","2082","Instant replacement","10166576.899"
"World","2082","Zero migration","10695691.654"
"World","2082","Constant mortality","9360447.988"
"World","2082","No change","13701635.952"
"World","2082","Momentum","9309759.02"
"World","2081","Medium","10690576.967"
"World","2081","High","13578620.105"
"World","2081","Low","8289936.941"
"World","2081","Constant fertility","15475118.559"
"World","2081","Instant replacement","10152451.437"
"World","2081","Zero migration","10680150.169"
"World","2081","Constant mortality","9376602.13"
"World","2081","No change","13537186.601"
"World","2081","Momentum","9311450.441"
"World","2080","Medium","10673719.474"
"World","2080","High","13477856.578"
"World","2080","Low","8331249.444"
"World","2080","Constant fertility","15240564.054"
"World","2080","Instant replacement","10138022.253"
"World","2080","Zero migration","10663823.663"
"World","2080","Constant mortality","9391881.565"
"World","2080","No change","13377428.452"
"World","2080","Momentum","9313042.063"
"World","2079","Medium","10656054.443"
"World","2079","High","13377694.725"
"World","2079","Low","8371351.516"
"World","2079","Constant fertility","15013111.861"
"World","2079","Instant replacement","10123248.012"
"World","2079","Zero migration","10646692.898"
"World","2079","Constant mortality","9406276.224"
"World","2079","No change","13222241.188"
"World","2079","Momentum","9314504.518"
"World","2078","Medium","10637573.903"
"World","2078","High","13278110.436"
"World","2078","Low","8410219.682"
"World","2078","Constant fertility","14792514.811"
"World","2078","Instant replacement","10108094.709"
"World","2078","Zero migration","10628748.021"
"World","2078","Constant mortality","9419773.037"
"World","2078","No change","13071490.894"
"World","2078","Momentum","9315803.076"
"World","2077","Medium","10618268.333"
"World","2077","High","13179053.659"
"World","2077","Low","8447845.63"
"World","2077","Constant fertility","14578517.065"
"World","2077","Instant replacement","10092513.903"
"World","2077","Zero migration","10609977.727"
"World","2077","Constant mortality","9432367.881"
"World","2077","No change","12925039.95"
"World","2077","Momentum","9316894.052"
"World","2076","Medium","10598131.958"
"World","2076","High","13080464.421"
"World","2076","Low","8484228.829"
"World","2076","Constant fertility","14370861.978"
"World","2076","Instant replacement","10076456.65"
"World","2076","Zero migration","10590372.812"
"World","2076","Constant mortality","9444056.984"
"World","2076","No change","12782743.731"
"World","2076","Momentum","9317729.683"
